survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,family
1,1,1,38.0,1,0,71.2833,C,First,1,False,3.0,Cherbourg,yes,False,1
1,3,1,26.0,0,0,7.925,S,Third,1,False,6.0,Southampton,yes,True,0
1,1,1,35.0,1,0,53.1,S,First,1,False,3.0,Southampton,yes,False,1
1,3,1,27.0,0,2,11.1333,S,Third,1,False,6.0,Southampton,yes,False,2
1,2,1,14.0,1,0,30.0708,C,Second,2,False,5.5,Cherbourg,yes,False,1
1,3,1,4.0,1,1,16.7,S,Third,2,False,7.0,Southampton,yes,False,2
1,1,1,58.0,0,0,26.55,S,First,1,False,3.0,Southampton,yes,True,0
1,2,1,55.0,0,0,16.0,S,Second,1,False,5.5,Southampton,yes,True,0
1,2,0,30.0,0,0,13.0,S,Second,0,True,5.5,Southampton,yes,True,0
1,3,1,30.0,0,0,7.225,C,Third,1,False,6.0,Cherbourg,yes,True,0
1,2,0,34.0,0,0,13.0,S,Second,0,True,4.0,Southampton,yes,True,0
1,3,1,15.0,0,0,8.0292,Q,Third,2,False,6.0,Queenstown,yes,True,0
1,1,0,28.0,0,0,35.5,S,First,0,True,1.0,Southampton,yes,True,0
1,3,1,38.0,1,5,31.3875,S,Third,1,False,6.0,Southampton,yes,False,6
1,3,1,30.0,0,0,7.8792,Q,Third,1,False,6.0,Queenstown,yes,True,0
1,1,1,30.0,1,0,146.5208,C,First,1,False,2.0,Cherbourg,yes,False,1
1,3,1,30.0,0,0,7.75,Q,Third,1,False,6.0,Queenstown,yes,True,0
1,3,0,30.0,0,0,7.2292,C,Third,0,True,6.0,Cherbourg,yes,True,0
1,3,1,14.0,1,0,11.2417,C,Third,2,False,6.0,Cherbourg,yes,False,1
1,2,1,3.0,1,2,41.5792,C,Second,2,False,5.5,Cherbourg,yes,False,3
1,3,1,19.0,0,0,7.8792,Q,Third,1,False,6.0,Queenstown,yes,True,0
1,3,1,30.0,0,0,7.75,Q,Third,1,False,6.0,Queenstown,yes,True,0
1,1,1,49.0,1,0,76.7292,C,First,1,False,4.0,Cherbourg,yes,False,1
1,2,1,29.0,1,0,26.0,S,Second,1,False,5.5,Southampton,yes,False,1
1,1,0,30.0,0,0,35.5,S,First,0,True,3.0,Southampton,yes,True,0
1,2,1,21.0,0,0,10.5,S,Second,1,False,5.5,Southampton,yes,True,0
1,2,1,5.0,1,2,27.75,S,Second,2,False,5.5,Southampton,yes,False,3
1,1,1,38.0,0,0,80.0,S,First,1,False,2.0,Southampton,yes,True,0
1,3,0,30.0,1,1,15.2458,C,Third,0,True,6.0,Cherbourg,yes,False,2
